-2106/243 -702/243 -234/243 -78/243 -26/243 
-2025/243 -675/243 -225/243 -75/243 -25/243 
-1944/243 -648/243 -216/243 -72/243 -24/243 
-1863/243 -621/243 -207/243 -69/243 -23/243 
-1782/243 -594/243 -198/243 -66/243 -22/243 
-1701/243 -567/243 -189/243 -63/243 -21/243 
-1620/243 -540/243 -180/243 -60/243 -20/243 
-1539/243 -513/243 -171/243 -57/243 -19/243 
-1458/243 -486/243 -162/243 -54/243 -18/243 
-1377/243 -459/243 -153/243 -51/243 -17/243 
-1296/243 -432/243 -144/243 -48/243 -16/243 
-1215/243 -405/243 -135/243 -45/243 -15/243 
-1134/243 -378/243 -126/243 -42/243 -14/243 
-1053/243 -351/243 -117/243 -39/243 -13/243 
-972/243 -324/243 -108/243 -36/243 -12/243 
-891/243 -297/243 -99/243 -33/243 -11/243 
-810/243 -270/243 -90/243 -30/243 -10/243 
-729/243 -243/243 -81/243 -27/243 -9/243 
0
9/243 27/243 81/243 243/243 729/243 
10/243 30/243 90/243 270/243 810/243 
11/243 33/243 99/243 297/243 891/243 
12/243 36/243 108/243 324/243 972/243 
13/243 39/243 117/243 351/243 1053/243 
14/243 42/243 126/243 378/243 1134/243 
15/243 45/243 135/243 405/243 1215/243 
16/243 48/243 144/243 432/243 1296/243 
17/243 51/243 153/243 459/243 1377/243 
18/243 54/243 162/243 486/243 1458/243 
19/243 57/243 171/243 513/243 1539/243 
20/243 60/243 180/243 540/243 1620/243 
21/243 63/243 189/243 567/243 1701/243 
22/243 66/243 198/243 594/243 1782/243 
23/243 69/243 207/243 621/243 1863/243 
24/243 72/243 216/243 648/243 1944/243 
25/243 75/243 225/243 675/243 2025/243 
26/243 78/243 234/243 702/243 2106/243 
